"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Cost","Sale Price","Margin"
"210000000086","069545229956","","","","Who Wants to be a Millionaire? (2000)","1","$0.00","$0.00","$24.95","100%"
"210000000088","4010350101223","","","","Cubo (2014)","1","$0.00","$0.00","$4.95","100%"
"210000000092","210000000092","","","","The Game of Life (1960)","1","$0.00","$0.00","$29.95","100%"
"210000000095","056297604520","","","","Slang Teasers (1983) (2nd ed) (Made in 1992) (used)","1","$0.00","$0.00","$44.95","100%"
"210000000096","056297604506","","","","Slang Teasers (1983) (1st ed) (used)","1","$0.00","$0.00","$39.95","100%"
"210000000097","4005556260683","","","","Mr. Diamond (1993)","1","$0.00","$0.00","$34.95","100%"
"210000000098","794764014259","","","","Kids Battle the Grown-Ups (2002)","1","$0.00","$0.00","$29.95","100%"
"210000000102","210000000102","","","","Slang Teasers (1983) (1st ed) (used)","1","$0.00","$0.00","$44.95","100%"
"210000000104","069545470105","","","","Scribbage (1990)","1","$0.00","$0.00","$9.95","100%"
"210000000105","210000000105","","","","Flux (1986)","1","$0.00","$0.00","$34.95","100%"
"210000000106","210000000106","","","","I.Q. 2000 Trans Canada Trivia","1","$0.00","$0.00","$34.95","100%"
"210000000107","653569431121","","","","Clue: Secrets & Spies (2009) (used)","1","$0.00","$0.00","$19.95","100%"
"210000000109","724843279132","","","","Tiles (1990)","1","$0.00","$0.00","$14.95","100%"
"210000000110","838270000013","","","","Rummoli (1940) (Rummoli Deluxe) (Made in 1995) (used)","1","$0.00","$0.00","$9.95","100%"
"210000000112","0086362009055","","","","Scrabble (1948)  (Deluxe Travel Edition) (Made in 1999) (used)","1","$0.00","$0.00","$29.95","100%"
"210000000113","210000000113","","","","Chess 3-D (2001)","1","$0.00","$0.00","$39.95","100%"
"210000000116","699778109168","","","","World of Warcraft: The Boardgame (2005) (used)","1","$0.00","$0.00","$119.95","100%"
"210000000117","210000000117","","","","Scrabble (1948) (Scrabble Original) (Made in 2001) (used)","1","$0.00","$0.00","$34.95","100%"
"210000000118","683308444440","","","","Word Fall (2000)","1","$0.00","$0.00","$14.95","100%"
"210000000119","9780985914806","","","","Disaster Looms! (2012) (used)","1","$0.00","$0.00","$29.95","100%"
"210000000121","653569314752","","","","Trivial Pursuit: 25th Anniversary Edition (2008) (used)","1","$0.00","$0.00","$19.95","100%"
"210000000123","859961000099","","","","Oasis (2004)","1","$0.00","$0.00","$24.95","100%"
"210000000127","0262830186204","","","","Master Builder (2008)","1","$0.00","$0.00","$49.95","100%"
"210000000128","056297602205","","","","Mark Breslin's Yuk Yuk's Comedy Game (1990) (used)","1","$0.00","$0.00","$34.95","100%"
"210000000130","661141000184","","","","The Canadian City Challenge  (2001) (5 vs 5) (nis)","1","$0.00","$0.00","$14.95","100%"
"210000000131","073000000455","","","","Clue (1949) (Made in 1996) (used)","1","$0.00","$0.00","$34.95","100%"
"210000000132","093514273367","","","","Blurt! (1992) (used)","1","$2.00","$2.00","$5.95","66.39%"
"210000000133","759751001001","","","","Eagle Kingdoms (1994)","1","$0.00","$0.00","$14.95","100%"
"210000000134","020315009086","","","","Clever Endeavor (1989)","1","$0.00","$0.00","$19.95","100%"
"210000000135","772603010013","","","","Lady Luck (1986) (used)","1","$0.00","$0.00","$18.95","100%"
"210000000136","85996100303","","","","California (2006)","1","$0.00","$0.00","$14.95","100%"
"210000000138","653569251552","","","","Monopoly: Here & Now Electronic Banking (2006) (used)","1","$0.00","$0.00","$39.95","100%"
"210000000139","027084148190","","","","Scene It? Disney (2004) (dvd game) (used)","1","$0.00","$0.00","$24.95","100%"
"210000000140","027084105636","","","","Scene it? Jr. (2003) (dvd game) (used)","1","$0.00","$0.00","$29.95","100%"
"210000000141","210000000141","","","","Garage Sale (2013) (used)","1","$0.00","$0.00","$29.95","100%"
"210000000143","018886010457","","","","Dirty Minds: The Game of Naughty Clues (1990) (made in 2006) (used)","1","$0.00","$0.00","$19.95","100%"
"210000000144","210000000144","","","","Split-Level Aggravation (1971)","1","$0.00","$0.00","$19.95","100%"
"210000000145","653569601210","","","","Clue World of Harry Potter (2008)","1","$0.00","$0.00","$29.95","100%"
"210000000147","021853056587","","","","Wheel Of Fortune Deluxe (1986) (25th Silver Anniversary Edition) (Made in 2007) (used)","1","$0.00","$0.00","$24.95","100%"
"210000000148","210000000148","","","","Horse Sense (1992)","1","$0.00","$0.00","$34.95","100%"
"210000000149","667792000177","","","","Cranium: Hoopla (2002) (used)","1","$0.00","$0.00","$29.95","100%"
"210000000150","700304046239","","","","Monopoly: The Legend of Zelda (2014) (Collectors Edition) (used)","1","$0.00","$0.00","$59.95","100%"
"210000000151","032244047077","","","","Goosebumps: A Night in Terror Tower Game (1996)","1","$0.00","$0.00","$19.95","100%"
"210000000152","699788109212","","","","Warrior Knights (2006) (used)","1","$0.00","$0.00","$69.95","100%"
"210000000153","","","","","Face Off (1974)","1","$0.00","$0.00","$49.95","100%"
"210000000154","210000000154","","","","Children's Chess","1","$0.00","$0.00","$19.95","100%"
"210000000155","","","","","Waterworks (1972) (used)","1","$0.00","$0.00","$9.95","100%"
"210000000156","210000000156","","","","Waterworks (1972) (used)","1","$0.00","$0.00","$9.95","100%"
"210000000157","659390099998","","","","Whad'Ya Know? (2003) (used)","1","$0.00","$0.00","$4.95","100%"
"210000000158","655132001892","","","","The Yeti Slalom (2001)","1","$0.00","$0.00","$9.95","100%"
"210000000161","32898880002725","","","","War & Sheep (2002) (used)","1","$0.00","$0.00","$4.95","100%"
"210000000162","749501002037","","","","Cribb Derby (1991)","1","$0.00","$0.00","$49.95","100%"
"210000000164","032244041136","","","","Guesstures (1990) (missing 3 cards-still playable)","1","$0.00","$0.00","$14.95","100%"
"210000000165","210000025437","","","","The Target (2010) NIS","1","$0.00","$0.00","$9.95","100%"
"210000000168","655132002660","","","","Techno Witches (2005)","1","$0.00","$0.00","$4.95","100%"
"210000000169","210000025437","","","","Costa Ruana (2014) (made in 2018) (used)","1","$0.00","$0.00","$14.95","100%"
"210000000171","210000025437","","","","Urbania (2012)","1","$0.00","$0.00","$19.95","100%"
"210000000172","210000025437","","","","Fantahzee: Hordes & Heroes (2016) (used)","1","$0.00","$0.00","$14.95","100%"
